Timestamp,Date,Name,Parent,Type of Event,Description,URL,Image,END,Status,
Update 1,3/31/2011,NYC BigApps 2.0 - Winners,Events,Contest,,http://www.nyc.gov/html/om/html/2011a/pr104-11.html,,,,
Update 1,6/23/2011,BigApps Idea Challenge ,Events,Contest,This type of idea-driven contest — in which participants don’t need computer programming skills,http://www.govtech.com/technology/New-York-City-Apps-Contest-No-Programming-Needed.html,,,,
Update 1,7/14/2011,Reinvent NYC.gov hackathon,Events,Contest,HACKATHON TO ENCOURAGE DEVELOPERS AND DESIGNERS TO HELP TRANSFORM NEW YORK CITY'S WEBSITE,http://www.nyc.gov/cgi-bin/misc/pfprinter.cgi?action=print&sitename=OM&p=1392674572000,,,,
Update 1,10/11/2011,NYC BigApps 3.0,Events,Contest,,http://www.nyc.gov/html/om/html/2011b/pr359-11.html,,,,
Update 1,7/2/2012,Reinvent Green,Events,Contest,"city’s first sustainability hackathon brings local tech community together to help create a greener, greater nyc with apps for bicycle sharing, recycling, finding markets with fresh food and more","http://www.nyc.gov/html/digital/html/news/reinventgreenwinners.shtml",,,,
Update 1,7/25/1974,Executive Order 18,Law,Local Executive Order,Establishment of an office of electronic data processing in the municipal serivce administration,http://www.nyc.gov/html/records/pdf/executive_orders/1974EO018.PDF,,,,
Update 1,9/27/1977,Executive Order 92,Law,Local Executive Order,Creation of the office of computer plans and controls in the office of the director of operations.,http://www.nyc.gov/html/records/pdf/executive_orders/1977EO092.PDF,,,,
Update 1,9/5/1986,Executive Order 100,Law,Local Executive Order,Creation of the office of computer plans and controls in the office of the director of operations.,http://www.nyc.gov/html/records/pdf/executive_orders/1986EO100.PDF,,,,
Update 1,1/27/1992,Executive Order 35,Law,Local Executive Order,Creation of the Mayor's Office of Operations an Office of Information Technology,http://www.nyc.gov/html/records/pdf/executive_orders/1992EO035.PDF,,,,
Update 1,10/6/1998,Executive Order 43,Law,Local Executive Order,Creation of a NYC technology steering committee to lead NYC technology,http://www.nyc.gov/html/records/pdf/executive_orders/1998EO043.PDF,,,,
Update 1,12/4/2002,Executive Order 31,Law,Local Executive Order,The creation of NYC 311 to be governed by DOITT,http://www.nyc.gov/html/records/pdf/executive_orders/2002EO031.pdf,,,,
Update 1,5/5/2004,Executive Order 46,Law,Local Executive Order,Consolidation of calls recieved by agencies into DOITT,http://www.nyc.gov/html/records/pdf/executive_orders/2004EO046.pdf,,,,
Update 1,9/20/2004,Executive Order 50,Law,Local Executive Order,Reorganization of Department of Education IT into DOITT,http://www.nyc.gov/html/records/pdf/executive_orders/2004EO050.pdf,,,,
Update 1,12/20/2006,Executive Order 98,Law,Local Executive Order,reorganization of the city of new york technology steering committee,http://www.nyc.gov/html/records/pdf/executive_orders/2006EO098.pdf,,,,
Update 1,7/26/2010,Executive Order 138,Law,Local Executive Order,The creation of Mayor's Office of Media and Entertainment and NYC Digital,http://www.nyc.gov/html/records/pdf/executive_orders/2010EO138.pdf,,,,
Update 1,10/20/2010,Executive Order 140,Law,Local Executive Order,authorizing the department of information technology and telecommunications to consolidate the infrastructure of and establish coordinated citywide policies for information technology and telecommunications for the city of new york,http://www.nyc.gov/html/records/pdf/executive_orders/2010EO140.pdf,,,,
Update 1,9/1/2010,Deployment of NYCWiN,Tools,Network / Infrastructure,Citywide wireless network for government offices,,,,,
Update 1,10/18/2010,G7: Working together to develop Open-Source IT solutions,Policy,Policy Change or Announcement,"""It’s also a group of leaders who believe that since all local governments wrestle with similar problems, it’s time to stop developing technology solutions alone.""",http://www.govtech.com/e-government/G7-Big-City-CIOs-Work-to-Develop-Open-Source-IT-Solutions.html,,,,
Update 1,10/1/2012,NYC.gov embraces Code for America fellows,Policy,Policy Change or Announcement,,http://codeforamerica.org/cities/newyork/,,,,
Update 1,7/16/2010,NYC IT Roadmap,Policy,Policy Change or Announcement,"agency's ongoing efforts to ""enable the connected city.""",http://www.cioinsight.com/c/a/Case-Studies/New-York-Citys-IT-Roadmap-636940/,,,,
Update 1,12/26/2013,NYC Broadband Map,Tools,Website,"As fast and reliable broadband access becomes increasingly critical for economic development across key sectors, particularly the emerging technology companies, the City of New York has created the NYC Broadband Map.",http://www.nycedc.com/press-release/nycedc-announces-launch-nyc-broadband-map-provide-view-commercial-broadband,,,,
Update 1,12/27/2013,NYC Business Atlas,Tools,Website,"Entrepreneurs visit maps.nyc.gov/businessatlas, then click on a neighborhood or enter an address to research the area.",http://www.inc.com/jill-krasny/nyc-business-atlas-helps-small-businesses.html,,,,
